Name,Profile URL,Position,Age,Nationality,Market Value,Market Value (€),Club,Slug,Season
Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,Goalkeeper,30,Spain,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,26,Ireland,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2024
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,24,England,€350k,350000.0,Afc Bournemouth,afc-bournemouth,2024
Ilya Zabarnyi,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,Centre-Back,22,Ukraine,€42.00m,42000000.0,Afc Bournemouth,afc-bournemouth,2024
Marcos Senesi,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781,Centre-Back,28,Argentina,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2024
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,27,Wales,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2024
James Hill,https://www.transfermarkt.com/james-hill/profil/spieler/611793,Centre-Back,23,England,€3.00m,3000000.0,Afc Bournemouth,afc-bournemouth,2024
Matai Akinmboni,https://www.transfermarkt.com/matai-akinmboni/profil/spieler/994604,Centre-Back,18,United States,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2024
Max Kinsey,https://www.transfermarkt.com/max-kinsey/profil/spieler/939615,Centre-Back,20,England,-,,Afc Bournemouth,afc-bournemouth,2024
Milos Kerkez,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,Left-Back,21,Hungary,€45.00m,45000000.0,Afc Bournemouth,afc-bournemouth,2024
Julio Soler,https://www.transfermarkt.com/julio-soler/profil/spieler/1009658,Left-Back,20,Argentina,€8.00m,8000000.0,Afc Bournemouth,afc-bournemouth,2024
Julián Araujo,https://www.transfermarkt.com/julian-araujo/profil/spieler/513970,Right-Back,23,Mexico,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Right-Back,34,England,€750k,750000.0,Afc Bournemouth,afc-bournemouth,2024
Tyler Adams,https://www.transfermarkt.com/tyler-adams/profil/spieler/332705,Defensive Midfield,26,United States,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2024
Ryan Christie,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Defensive Midfield,30,Scotland,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Alex Scott,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,Central Midfield,21,England,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2024
Lewis Cook,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089,Central Midfield,28,England,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2024
Justin Kluivert,https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659,Attacking Midfield,26,Netherlands,€35.00m,35000000.0,Afc Bournemouth,afc-bournemouth,2024
Antoine Semenyo,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Left Winger,25,Ghana,€40.00m,40000000.0,Afc Bournemouth,afc-bournemouth,2024
Dango Ouattara,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231,Left Winger,23,Burkina Faso,€28.00m,28000000.0,Afc Bournemouth,afc-bournemouth,2024
Marcus Tavernier,https://www.transfermarkt.com/marcus-tavernier/profil/spieler/399434,Left Winger,26,England,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2024
Luis Sinisterra,https://www.transfermarkt.com/luis-sinisterra/profil/spieler/512385,Left Winger,25,Colombia,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2024
David Brooks,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,Right Winger,27,Wales,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Evanilson,https://www.transfermarkt.com/evanilson/profil/spieler/711337,Centre-Forward,25,Brazil,€35.00m,35000000.0,Afc Bournemouth,afc-bournemouth,2024
Enes Ünal,https://www.transfermarkt.com/enes-unal/profil/spieler/251106,Centre-Forward,28,Türkiye,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Daniel Jebbison,https://www.transfermarkt.com/daniel-jebbison/profil/spieler/746740,Centre-Forward,21,Canada,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2024
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,25,Ireland,€3.50m,3500000.0,Afc Bournemouth,afc-bournemouth,2023
Ionuț Radu,https://www.transfermarkt.com/ionut-radu/profil/spieler/303657,Goalkeeper,27,Romania,€3.00m,3000000.0,Afc Bournemouth,afc-bournemouth,2023
Neto,https://www.transfermarkt.com/neto/profil/spieler/111819,Goalkeeper,34,Brazil,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2023
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,23,England,€350k,350000.0,Afc Bournemouth,afc-bournemouth,2023
Darren Randolph,https://www.transfermarkt.com/darren-randolph/profil/spieler/51321,Goalkeeper,37,Ireland,€300k,300000.0,Afc Bournemouth,afc-bournemouth,2023
Cameron Plain,https://www.transfermarkt.com/cameron-plain/profil/spieler/655136,Goalkeeper,22,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2023
Callan McKenna,https://www.transfermarkt.com/callan-mckenna/profil/spieler/983248,Goalkeeper,17,Scotland,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2023
Ilya Zabarnyi,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,Centre-Back,21,Ukraine,€32.00m,32000000.0,Afc Bournemouth,afc-bournemouth,2023
Marcos Senesi,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781,Centre-Back,27,Argentina,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2023
Lloyd Kelly,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,Centre-Back,25,England,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2023
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,26,Wales,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2023
James Hill,https://www.transfermarkt.com/james-hill/profil/spieler/611793,Centre-Back,22,England,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2023
Max Kinsey,https://www.transfermarkt.com/max-kinsey/profil/spieler/939615,Centre-Back,19,England,-,,Afc Bournemouth,afc-bournemouth,2023
Milos Kerkez,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,Left-Back,20,Hungary,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2023
Ben Greenwood,https://www.transfermarkt.com/ben-greenwood/profil/spieler/646333,Left-Back,22,Ireland,-,,Afc Bournemouth,afc-bournemouth,2023
Max Aarons,https://www.transfermarkt.com/max-aarons/profil/spieler/471690,Right-Back,24,England,€16.00m,16000000.0,Afc Bournemouth,afc-bournemouth,2023
Ryan Fredericks,https://www.transfermarkt.com/ryan-fredericks/profil/spieler/140191,Right-Back,31,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2023
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Right-Back,33,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2023
Tyler Adams,https://www.transfermarkt.com/tyler-adams/profil/spieler/332705,Defensive Midfield,25,United States,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2023
Ryan Christie,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Defensive Midfield,29,Scotland,€12.00m,12000000.0,Afc Bournemouth,afc-bournemouth,2023
Philip Billing,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,Central Midfield,28,Denmark,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2023
Alex Scott,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,Central Midfield,20,England,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2023
Lewis Cook,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089,Central Midfield,27,England,€12.00m,12000000.0,Afc Bournemouth,afc-bournemouth,2023
Joe Rothwell,https://www.transfermarkt.com/joe-rothwell/profil/spieler/183293,Central Midfield,29,England,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2023
Gavin Kilkenny,https://www.transfermarkt.com/gavin-kilkenny/profil/spieler/469064,Central Midfield,24,Ireland,€300k,300000.0,Afc Bournemouth,afc-bournemouth,2023
Romain Faivre,https://www.transfermarkt.com/romain-faivre/profil/spieler/555076,Right Midfield,25,France,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2023
Hamed Junior Traoré,https://www.transfermarkt.com/hamed-junior-traore/profil/spieler/391065,Attacking Midfield,24,Cote d'Ivoire,€17.00m,17000000.0,Afc Bournemouth,afc-bournemouth,2023
Justin Kluivert,https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659,Attacking Midfield,25,Netherlands,€14.00m,14000000.0,Afc Bournemouth,afc-bournemouth,2023
Emiliano Marcondes,https://www.transfermarkt.com/emiliano-marcondes/profil/spieler/232964,Attacking Midfield,29,Denmark,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2023
Dango Ouattara,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231,Left Winger,22,Burkina Faso,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2023
Marcus Tavernier,https://www.transfermarkt.com/marcus-tavernier/profil/spieler/399434,Left Winger,25,England,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2023
Luis Sinisterra,https://www.transfermarkt.com/luis-sinisterra/profil/spieler/512385,Left Winger,25,Colombia,€17.00m,17000000.0,Afc Bournemouth,afc-bournemouth,2023
Antoine Semenyo,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Left Winger,24,Ghana,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2023
Jaidon Anthony,https://www.transfermarkt.com/jaidon-anthony/profil/spieler/684210,Left Winger,24,England,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2023
David Brooks,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,Right Winger,26,Wales,€8.00m,8000000.0,Afc Bournemouth,afc-bournemouth,2023
Dominic Sadi,https://www.transfermarkt.com/dominic-sadi/profil/spieler/936901,Right Winger,20,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2023
Michael Dacosta,https://www.transfermarkt.com/michael-dacosta/profil/spieler/854722,Right Winger,19,Spain,-,,Afc Bournemouth,afc-bournemouth,2023
Dominic Solanke,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889,Centre-Forward,26,England,€40.00m,40000000.0,Afc Bournemouth,afc-bournemouth,2023
Enes Ünal,https://www.transfermarkt.com/enes-unal/profil/spieler/251106,Centre-Forward,27,Türkiye,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2023
Kieffer Moore,https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590,Centre-Forward,31,Wales,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2023
Jamal Lowe,https://www.transfermarkt.com/jamal-lowe/profil/spieler/239949,Centre-Forward,29,Jamaica,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2023
Daniel Adu-Adjei,https://www.transfermarkt.com/daniel-adu-adjei/profil/spieler/963878,Centre-Forward,19,England,-,,Afc Bournemouth,afc-bournemouth,2023
Neto,https://www.transfermarkt.com/neto/profil/spieler/111819,Goalkeeper,33,Brazil,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2022
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,24,Ireland,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2022
Darren Randolph,https://www.transfermarkt.com/darren-randolph/profil/spieler/51321,Goalkeeper,36,Ireland,€400k,400000.0,Afc Bournemouth,afc-bournemouth,2022
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,22,England,€150k,150000.0,Afc Bournemouth,afc-bournemouth,2022
Cameron Plain,https://www.transfermarkt.com/cameron-plain/profil/spieler/655136,Goalkeeper,21,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2022
Marcos Senesi,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781,Centre-Back,26,Argentina,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2022
Ilya Zabarnyi,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,Centre-Back,20,Ukraine,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2022
Lloyd Kelly,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,Centre-Back,24,England,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2022
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,25,Wales,€8.00m,8000000.0,Afc Bournemouth,afc-bournemouth,2022
Jack Stephens,https://www.transfermarkt.com/jack-stephens/profil/spieler/163744,Centre-Back,29,England,€3.50m,3500000.0,Afc Bournemouth,afc-bournemouth,2022
James Hill,https://www.transfermarkt.com/james-hill/profil/spieler/611793,Centre-Back,21,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2022
Chris Francis,https://www.transfermarkt.com/chris-francis/profil/spieler/855087,Centre-Back,20,England,-,,Afc Bournemouth,afc-bournemouth,2022
Max Kinsey,https://www.transfermarkt.com/max-kinsey/profil/spieler/939615,Centre-Back,18,England,-,,Afc Bournemouth,afc-bournemouth,2022
Owen Bevan,https://www.transfermarkt.com/owen-bevan/profil/spieler/583990,Centre-Back,19,Wales,-,,Afc Bournemouth,afc-bournemouth,2022
Matías Viña,https://www.transfermarkt.com/matias-vina/profil/spieler/439072,Left-Back,25,Uruguay,€8.00m,8000000.0,Afc Bournemouth,afc-bournemouth,2022
Jordan Zemura,https://www.transfermarkt.com/jordan-zemura/profil/spieler/633530,Left-Back,23,Zimbabwe,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2022
Ben Greenwood,https://www.transfermarkt.com/ben-greenwood/profil/spieler/646333,Left-Back,21,Ireland,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2022
Jack Stacey,https://www.transfermarkt.com/jack-stacey/profil/spieler/249356,Right-Back,27,England,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2022
Ryan Fredericks,https://www.transfermarkt.com/ryan-fredericks/profil/spieler/140191,Right-Back,30,England,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2022
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Right-Back,32,England,€1.20m,1200000.0,Afc Bournemouth,afc-bournemouth,2022
Brooklyn Genesini,https://www.transfermarkt.com/brooklyn-genesini/profil/spieler/655173,Right-Back,21,England,€50k,50000.0,Afc Bournemouth,afc-bournemouth,2022
Jefferson Lerma,https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980,Defensive Midfield,28,Colombia,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2022
Ryan Christie,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Defensive Midfield,28,Scotland,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2022
Jack Wadham,https://www.transfermarkt.com/jack-wadham/profil/spieler/733434,Midfielder,20,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2022
Philip Billing,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,Central Midfield,27,Denmark,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2022
Lewis Cook,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089,Central Midfield,26,England,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2022
Joe Rothwell,https://www.transfermarkt.com/joe-rothwell/profil/spieler/183293,Central Midfield,28,England,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2022
Ben Pearson,https://www.transfermarkt.com/ben-pearson/profil/spieler/183302,Central Midfield,28,England,€2.20m,2200000.0,Afc Bournemouth,afc-bournemouth,2022
Gavin Kilkenny,https://www.transfermarkt.com/gavin-kilkenny/profil/spieler/469064,Central Midfield,23,Ireland,€400k,400000.0,Afc Bournemouth,afc-bournemouth,2022
Ferdinand Okoh,https://www.transfermarkt.com/ferdinand-okoh/profil/spieler/854708,Central Midfield,19,England,-,,Afc Bournemouth,afc-bournemouth,2022
Hamed Junior Traoré,https://www.transfermarkt.com/hamed-junior-traore/profil/spieler/391065,Attacking Midfield,23,Cote d'Ivoire,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2022
Emiliano Marcondes,https://www.transfermarkt.com/emiliano-marcondes/profil/spieler/232964,Attacking Midfield,28,Denmark,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2022
Dango Ouattara,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231,Left Winger,21,Burkina Faso,€25.00m,25000000.0,Afc Bournemouth,afc-bournemouth,2022
Marcus Tavernier,https://www.transfermarkt.com/marcus-tavernier/profil/spieler/399434,Left Winger,24,England,€17.00m,17000000.0,Afc Bournemouth,afc-bournemouth,2022
Antoine Semenyo,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Left Winger,23,Ghana,€9.00m,9000000.0,Afc Bournemouth,afc-bournemouth,2022
Jaidon Anthony,https://www.transfermarkt.com/jaidon-anthony/profil/spieler/684210,Left Winger,23,England,€9.00m,9000000.0,Afc Bournemouth,afc-bournemouth,2022
Siriki Dembélé,https://www.transfermarkt.com/siriki-dembele/profil/spieler/488656,Left Winger,26,Scotland,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2022
Junior Stanislas,https://www.transfermarkt.com/junior-stanislas/profil/spieler/87672,Left Winger,33,England,€500k,500000.0,Afc Bournemouth,afc-bournemouth,2022
David Brooks,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,Right Winger,25,Wales,€12.00m,12000000.0,Afc Bournemouth,afc-bournemouth,2022
Dominic Sadi,https://www.transfermarkt.com/dominic-sadi/profil/spieler/936901,Right Winger,19,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2022
Michael Dacosta,https://www.transfermarkt.com/michael-dacosta/profil/spieler/854722,Right Winger,18,Spain,-,,Afc Bournemouth,afc-bournemouth,2022
Dominic Solanke,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889,Centre-Forward,25,England,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2022
Kieffer Moore,https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590,Centre-Forward,30,Wales,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2022
Jamal Lowe,https://www.transfermarkt.com/jamal-lowe/profil/spieler/239949,Centre-Forward,28,Jamaica,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2022
Christian Saydee,https://www.transfermarkt.com/christian-saydee/profil/spieler/655835,Centre-Forward,21,England,€400k,400000.0,Afc Bournemouth,afc-bournemouth,2022
Euan Pollock,https://www.transfermarkt.com/euan-pollock/profil/spieler/655142,Centre-Forward,20,England,-,,Afc Bournemouth,afc-bournemouth,2022
Daniel Adu-Adjei,https://www.transfermarkt.com/daniel-adu-adjei/profil/spieler/963878,Centre-Forward,18,England,-,,Afc Bournemouth,afc-bournemouth,2022
Freddie Woodman,https://www.transfermarkt.com/freddie-woodman/profil/spieler/226049,Goalkeeper,25,England,€9.00m,9000000.0,Afc Bournemouth,afc-bournemouth,2021
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,23,Ireland,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2021
Ørjan Nyland,https://www.transfermarkt.com/orjan-nyland/profil/spieler/73517,Goalkeeper,31,Norway,€700k,700000.0,Afc Bournemouth,afc-bournemouth,2021
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,21,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2021
Lloyd Kelly,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,Centre-Back,23,England,€12.00m,12000000.0,Afc Bournemouth,afc-bournemouth,2021
Nat Phillips,https://www.transfermarkt.com/nat-phillips/profil/spieler/371814,Centre-Back,25,England,€8.00m,8000000.0,Afc Bournemouth,afc-bournemouth,2021
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,24,Wales,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2021
Steve Cook,https://www.transfermarkt.com/steve-cook/profil/spieler/90836,Centre-Back,31,England,€2.80m,2800000.0,Afc Bournemouth,afc-bournemouth,2021
James Hill,https://www.transfermarkt.com/james-hill/profil/spieler/611793,Centre-Back,20,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2021
Gary Cahill,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,Centre-Back,36,England,€400k,400000.0,Afc Bournemouth,afc-bournemouth,2021
Zeno Ibsen Rossi,https://www.transfermarkt.com/zeno-ibsen-rossi/profil/spieler/655177,Centre-Back,21,England,€250k,250000.0,Afc Bournemouth,afc-bournemouth,2021
Jordan Zemura,https://www.transfermarkt.com/jordan-zemura/profil/spieler/633530,Left-Back,22,Zimbabwe,€3.00m,3000000.0,Afc Bournemouth,afc-bournemouth,2021
Leif Davis,https://www.transfermarkt.com/leif-davis/profil/spieler/596446,Left-Back,22,England,€800k,800000.0,Afc Bournemouth,afc-bournemouth,2021
Ethan Laird,https://www.transfermarkt.com/ethan-laird/profil/spieler/531679,Right-Back,20,England,€5.00m,5000000.0,Afc Bournemouth,afc-bournemouth,2021
Jack Stacey,https://www.transfermarkt.com/jack-stacey/profil/spieler/249356,Right-Back,26,England,€3.00m,3000000.0,Afc Bournemouth,afc-bournemouth,2021
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Right-Back,31,England,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2021
Brennan Camp,https://www.transfermarkt.com/brennan-camp/profil/spieler/648699,Right-Back,21,Scotland,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2021
Jefferson Lerma,https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980,Defensive Midfield,27,Colombia,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2021
Ryan Christie,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Defensive Midfield,27,Scotland,€9.00m,9000000.0,Afc Bournemouth,afc-bournemouth,2021
Philip Billing,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,Central Midfield,26,Denmark,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2021
Lewis Cook,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089,Central Midfield,25,England,€9.00m,9000000.0,Afc Bournemouth,afc-bournemouth,2021
Ben Pearson,https://www.transfermarkt.com/ben-pearson/profil/spieler/183302,Central Midfield,27,England,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2021
Gavin Kilkenny,https://www.transfermarkt.com/gavin-kilkenny/profil/spieler/469064,Central Midfield,22,Ireland,€1.50m,1500000.0,Afc Bournemouth,afc-bournemouth,2021
Kyle Taylor,https://www.transfermarkt.com/kyle-taylor/profil/spieler/562254,Central Midfield,22,Switzerland,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2021
Nathan Moriah-Welsh,https://www.transfermarkt.com/nathan-moriah-welsh/profil/spieler/655139,Central Midfield,20,Guyana,-,,Afc Bournemouth,afc-bournemouth,2021
Robbie Brady,https://www.transfermarkt.com/robbie-brady/profil/spieler/128229,Left Midfield,30,Ireland,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2021
Todd Cantwell,https://www.transfermarkt.com/todd-cantwell/profil/spieler/332341,Attacking Midfield,24,England,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2021
Emiliano Marcondes,https://www.transfermarkt.com/emiliano-marcondes/profil/spieler/232964,Attacking Midfield,27,Denmark,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2021
Morgan Rogers,https://www.transfermarkt.com/morgan-rogers/profil/spieler/503743,Attacking Midfield,19,England,€1.80m,1800000.0,Afc Bournemouth,afc-bournemouth,2021
Jaidon Anthony,https://www.transfermarkt.com/jaidon-anthony/profil/spieler/684210,Left Winger,22,England,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2021
Siriki Dembélé,https://www.transfermarkt.com/siriki-dembele/profil/spieler/488656,Left Winger,25,Scotland,€2.80m,2800000.0,Afc Bournemouth,afc-bournemouth,2021
Junior Stanislas,https://www.transfermarkt.com/junior-stanislas/profil/spieler/87672,Left Winger,32,England,€700k,700000.0,Afc Bournemouth,afc-bournemouth,2021
Tarik Gidaree,https://www.transfermarkt.com/tarik-gidaree/profil/spieler/733437,Left Winger,19,England,-,,Afc Bournemouth,afc-bournemouth,2021
David Brooks,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,Right Winger,24,Wales,€16.00m,16000000.0,Afc Bournemouth,afc-bournemouth,2021
Ryan Glover,https://www.transfermarkt.com/ryan-glover/profil/spieler/684173,Right Winger,21,England,-,,Afc Bournemouth,afc-bournemouth,2021
Dominic Solanke,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889,Centre-Forward,24,England,€16.00m,16000000.0,Afc Bournemouth,afc-bournemouth,2021
Kieffer Moore,https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590,Centre-Forward,29,Wales,€5.00m,5000000.0,Afc Bournemouth,afc-bournemouth,2021
Jamal Lowe,https://www.transfermarkt.com/jamal-lowe/profil/spieler/239949,Centre-Forward,27,Jamaica,€1.80m,1800000.0,Afc Bournemouth,afc-bournemouth,2021
Christian Saydee,https://www.transfermarkt.com/christian-saydee/profil/spieler/655835,Centre-Forward,20,England,€50k,50000.0,Afc Bournemouth,afc-bournemouth,2021
Asmir Begovic,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,Goalkeeper,34,Bosnia-Herzegovina,€1.20m,1200000.0,Afc Bournemouth,afc-bournemouth,2020
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,22,Ireland,€500k,500000.0,Afc Bournemouth,afc-bournemouth,2020
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,20,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2020
Lloyd Kelly,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,Centre-Back,22,England,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2020
Steve Cook,https://www.transfermarkt.com/steve-cook/profil/spieler/90836,Centre-Back,30,England,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2020
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,23,Wales,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2020
Cameron Carter-Vickers,https://www.transfermarkt.com/cameron-carter-vickers/profil/spieler/341049,Centre-Back,23,United States,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2020
Jack Simpson,https://www.transfermarkt.com/jack-simpson/profil/spieler/419930,Centre-Back,24,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2020
Diego Rico,https://www.transfermarkt.com/diego-rico/profil/spieler/249513,Left-Back,28,Spain,€4.50m,4500000.0,Afc Bournemouth,afc-bournemouth,2020
Jordan Zemura,https://www.transfermarkt.com/jordan-zemura/profil/spieler/633530,Left-Back,21,Zimbabwe,€250k,250000.0,Afc Bournemouth,afc-bournemouth,2020
